"","x"
"912","rxn00981_c0"
"913","rxn00982_c0"
"914","rxn00983_c0"
"915","rxn00984_c0"
"916","rxn00985_c0"
"917","rxn00986_c0"
"918","rxn00987_c0"
"919","rxn00988_c0"
"920","rxn00989_c0"
"921","rxn00990_c0"
"922","rxn00991_c0"
"923","rxn00992_c0"
"924","rxn00993_c0"
"925","rxn00994_c0"
"926","rxn00995_c0"
"927","rxn00996_c0"
"928","rxn00997_c0"
"929","rxn00998_c0"
"930","rxn00999_c0"
"931","rxn01000_c0"
"932","rxn01001_c0"
"933","rxn01002_c0"
"934","rxn01003_c0"
"935","rxn01004_c0"
"936","rxn01005_c0"
"937","rxn01006_c0"
"938","rxn01007_c0"
"939","rxn01008_c0"
"940","rxn01009_c0"
"941","rxn01010_c0"
"942","rxn01011_c0"
"943","rxn01012_c0"
"944","rxn01013_c0"
"945","rxn01014_c0"
"946","rxn01015_c0"
"947","rxn01016_c0"
"948","rxn01017_c0"
"949","rxn01018_c0"
"950","rxn01019_c0"
"951","rxn01020_c0"
"952","rxn01021_c0"
"953","rxn01022_c0"
"954","rxn01023_c0"
"955","rxn01024_c0"
"956","rxn01025_c0"
"957","rxn01026_c0"
"958","rxn01027_c0"
"959","rxn01028_c0"
"960","rxn01029_c0"
"961","rxn01030_c0"
"962","rxn01031_c0"
"963","rxn01032_c0"
"964","rxn01033_c0"
"965","rxn01034_c0"
"966","rxn01035_c0"
"967","rxn01036_c0"
"968","rxn01037_c0"
"969","rxn01038_c0"
"970","rxn01039_c0"
"971","rxn01041_c0"
"972","rxn01042_c0"
"973","rxn01043_c0"
"974","rxn01044_c0"
"975","rxn01045_c0"
"976","rxn01046_c0"
"977","rxn01048_c0"
"978","rxn01049_c0"
"979","rxn01050_c0"
"980","rxn01051_c0"
"981","rxn01052_c0"
"982","rxn01053_c0"
"983","rxn01054_c0"
"984","rxn01055_c0"
"985","rxn01056_c0"
"986","rxn01057_c0"
"987","rxn01058_c0"
"988","rxn01059_c0"
"989","rxn01060_c0"
"990","rxn01061_c0"
"991","rxn01062_c0"
"992","rxn01063_c0"
"993","rxn01064_c0"
"994","rxn01065_c0"
"995","rxn01066_c0"
"996","rxn01067_c0"
"997","rxn01068_c0"
"998","rxn01069_c0"
"999","rxn01070_c0"
"1000","rxn01071_c0"
"1001","rxn01072_c0"
"1002","rxn01073_c0"
"1003","rxn01074_c0"
"1004","rxn01075_c0"
"1005","rxn01076_c0"
"1006","rxn01077_c0"
"1007","rxn01079_c0"
"1008","rxn01080_c0"
"1009","rxn01081_c0"
"1010","rxn01082_c0"
"1011","rxn01083_c0"
"1012","rxn01085_c0"
"1013","rxn01087_c0"
"1014","rxn01088_c0"
"1015","rxn01089_c0"
"1016","rxn01090_c0"
"1017","rxn01091_c0"
"1018","rxn01092_c0"
"1019","rxn01093_c0"
"1020","rxn01094_c0"
"1021","rxn01095_c0"
"1022","rxn01096_c0"
"1023","rxn01097_c0"
"1024","rxn01098_c0"
"1025","rxn01099_c0"
"1026","rxn01100_c0"
"1027","rxn01101_c0"
"1028","rxn01102_c0"
"1029","rxn01103_c0"
"1030","rxn01104_c0"
"1031","rxn01105_c0"
"1032","rxn01106_c0"
"1033","rxn01107_c0"
"1034","rxn01108_c0"
