"","x"
"1885",0
"1886",0
"1887",-1000
"1888",0
"1889",0
"1890",-1000
"1891",-1000
"1892",-1000
"1893",-1000
"1894",0
"1895",0
"1896",-1000
"1897",0
"1898",0
"1899",-1000
"1900",-1000
"1901",-1000
"1902",0
"1903",0
"1904",-1000
"1905",-1000
"1906",-1000
"1907",-1000
"1908",0
"1909",0
"1910",0
"1911",-1000
"1912",0
"1913",-1000
"1914",-1000
"1915",-1000
"1916",-1000
"1917",-1000
"1918",-1000
"1919",-1000
"1920",-1000
"1921",0
"1922",0
"1923",0
"1924",0
"1925",-1000
"1926",0
"1927",0
"1928",0
"1929",0
"1930",-1000
"1931",0
"1932",-1000
"1933",-1000
"1934",-1000
"1935",0
"1936",-1000
"1937",-1000
"1938",-1000
"1939",-1000
"1940",0
"1941",0
"1942",0
"1943",0
"1944",0
"1945",0
"1946",-1000
"1947",0
"1948",-1000
"1949",-1000
"1950",0
"1951",-1000
"1952",-1000
"1953",0
"1954",0
"1955",0
"1956",0
"1957",0
"1958",-1000
"1959",0
"1960",-1000
"1961",-1000
"1962",-1000
"1963",-1000
"1964",-1000
"1965",-1000
"1966",-1000
"1967",-1000
"1968",0
"1969",-1000
"1970",-1000
"1971",0
"1972",0
"1973",-1000
"1974",-1000
"1975",-1000
"1976",0
"1977",-1000
"1978",-1000
"1979",0
"1980",-1000
"1981",-1000
"1982",-1000
"1983",0
"1984",0
"1985",0
"1986",0
"1987",-1000
"1988",-1000
"1989",0
"1990",0
"1991",-1000
"1992",0
"1993",-1000
"1994",0
"1995",-1000
"1996",-1000
"1997",-1000
"1998",-1000
"1999",-1000
"2000",-1000
"2001",0
"2002",-1000
"2003",-1000
"2004",-1000
"2005",0
"2006",0
"2007",-1000
"2008",-1000
"2009",0
"2010",-1000
"2011",-1000
"2012",-1000
"2013",0
"2014",-1000
"2015",0
"2016",0
"2017",0
"2018",-1000
"2019",0
"2020",0
"2021",-1000
"2022",-1000
"2023",0
"2024",0
"2025",-1000
"2026",-1000
"2027",0
"2028",-1000
"2029",-1000
"2030",0
"2031",0
"2032",-1000
"2033",-1000
"2034",0
"2035",0
"2036",-1000
"2037",-1000
"2038",-1000
"2039",-1000
"2040",0
"2041",-1000
"2042",-1000
"2043",-1000
"2044",0
"2045",-1000
"2046",-1000
"2047",-1000
"2048",-1000
"2049",0
"2050",-1000
"2051",0
"2052",-1000
"2053",0
"2054",0
"2055",-1000
"2056",-1000
"2057",0
"2058",0
"2059",0
"2060",-1000
"2061",-1000
"2062",-1000
"2063",-1000
"2064",-1000
"2065",-1000
"2066",-1000
"2067",-1000
"2068",-1000
"2069",0
"2070",0
"2071",0
"2072",0
"2073",0
"2074",-1000
"2075",0
"2076",0
"2077",0
"2078",0
"2079",0
"2080",0
"2081",-1000
"2082",-1000
"2083",-1000
"2084",-1000
"2085",-1000
"2086",-1000
"2087",-1000
"2088",-1000
"2089",-1000
"2090",-1000
"2091",-1000
"2092",-1000
"2093",0
"2094",0
"2095",0
"2096",0
"2097",-1000
"2098",-1000
"2099",-1000
"2100",-1000
"2101",0
"2102",0
"2103",0
"2104",0
"2105",0
"2106",-1000
"2107",-1000
"2108",-1000
"2109",-1000
"2110",0
"2111",-1000
"2112",0
"2113",-1000
"2114",-1000
"2115",-1000
"2116",-1000
"2117",-1000
"2118",0
"2119",0
"2120",-1000
"2121",-1000
"2122",-1000
"2123",-1000
"2124",0
"2125",0
"2126",-1000
"2127",0
"2128",-1000
"2129",0
"2130",0
"2131",0
"2132",-1000
"2133",-1000
"2134",-1000
"2135",-1000
"2136",0
"2137",-1000
"2138",0
"2139",0
"2140",0
"2141",-1000
"2142",0
"2143",0
"2144",-1000
"2145",0
"2146",0
"2147",0
"2148",0
"2149",0
"2150",0
"2151",0
"2152",-1000
"2153",0
"2154",0
"2155",0
"2156",-1000
"2157",-1000
"2158",-1000
